TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.275555556,0.906383,0.0285937,1.64167,0.0763354,0.218803,1.77527,0,0.0946846,0.543471,0.16171,3.57448,0.313588
2.321995465,0.926326,0.100007,1.73182,0.0453286,0.374887,1.56759,0.00617327,0.0318837,0.836978,0.127672,3.57452,0.183967
2.368435374,0.880844,0.144349,1.60699,0.107189,0.311787,1.7251,0.0952795,0.0142536,1.01013,0.0178133,3.32359,0.127926
2.414875283,0.7797,0.196643,1.12047,0.364288,0.508055,2.12078,0.206286,0.192461,0.643907,0.0294307,2.81316,0.0848351
2.461315193,0.737143,0.169973,0.823162,0.295135,0.310793,2.49305,0.166324,0.268694,0.281931,0.0773061,2.82937,0.117573
2.507755102,0.644861,0.136364,1.00281,0.140113,0.255481,2.64716,0.13654,0.294752,0.0774727,0.0821657,2.88211,0.230477
2.554195011,0.642564,0.163616,0.920936,0.140274,0.287595,2.55193,0.0969457,0.225308,0.0538091,0.0864708,3.09704,0.183744
2.600634921,0.542936,0.200016,0.802526,0.114229,0.165366,2.33069,0.00251535,0.270015,0.115855,0.038199,3.34537,0.194007
2.647074830,0.581627,0.0864334,0.85099,0.221377,0.318363,2.20119,0.00542987,0.277516,0.261095,0,3.39167,0.16652
2.693514739,0.769755,0.147017,0.992279,0.292292,0.345586,2.09623,0.00998981,0.222475,0.197185,0.0217913,3.30071,0.177019
2.739954649,1.08943,0.127045,1.05986,0.319682,0.158555,2.07702,0.0542715,0.112795,0.144509,0.0533572,3.02511,0.0968874
2.786394558,1.26799,0.0670923,0.761921,0.327261,0.0432859,1.98078,0.10573,0.172005,0.298376,0.0149152,2.87392,0.077773
2.832834467,1.21944,0.0997234,0.566184,0.38077,0.0662186,1.86029,0.0703624,0.309428,0.535645,0.0272673,3.11668,0.039614
2.879274376,1.06255,0.0949644,0.595572,0.386943,0.20769,2.01926,0.0460326,0.424681,0.493702,0.0672999,3.3284,0.0279106
2.925714286,0.896368,0.183401,0.721596,0.219963,0.0850499,2.48447,0.0416459,0.42976,0.234641,0.092733,3.21328,0.00985661
2.972154195,0.850101,0.272081,0.974287,0.356806,0.0469064,3.03706,0.00425402,0.258051,0.062767,0.0830244,2.53312,0.50022
3.018594104,0.848639,0.20128,1.07706,0.406475,0.0623173,3.05141,0.118137,0.098106,0.16006,0.0171502,1.99526,0.871044
3.065034014,0.964304,0.134759,0.906924,0.376812,0.0130309,2.65327,0.214652,0.0349525,0.166125,0,2.60644,0.443287
3.111473923,1.00299,0.108656,0.843175,0.25175,0.0117173,2.26514,0.191158,0.0605106,0.169769,0,3.10641,0.251992
3.157913832,0.957829,0.176391,0.887579,0.332517,0.0177648,2.36781,0.203666,0.0266488,0.101661,0.0826315,3.19273,0.191904
3.204353741,0.96341,0.359126,0.867926,0.355595,0.0745111,2.32786,0.224441,0.00543741,0.0614134,0.0712717,3.15597,0.209205
3.250793651,0.892603,0.665954,1.08762,0.37461,0.0820273,2.3474,0.13311,0.00402563,0.081535,0.0949828,3.0092,0.278595
3.297233560,0.702444,0.577061,1.25721,0.255006,0.114219,2.32936,0.0774514,0.0187158,0.102612,0.146652,2.87065,0.500914
3.343673469,0.544457,0.233012,1.13467,0.186762,0.219456,2.55146,0.0706767,0.399844,0.1921,0.143584,2.72038,0.396438
3.390113379,0.370638,0.219998,1.10697,0.146267,0.204789,2.51211,0.0603885,0.437192,0.304828,0.405975,2.81377,0.287792
3.436553288,0.345944,0.231391,1.46807,0.239296,0.0159356,2.5907,0.169346,0.271424,0.33127,0.527279,2.82406,0.144096
3.482993197,0.39588,0.175104,1.78773,0.0120398,0.0183785,2.69527,0.291587,0.0991026,0.496201,0.415737,2.99764,0.0942762
3.529433107,0.11334,0.318622,1.82754,0.0323773,0.0224623,2.63753,0.301009,0,0.751944,0.23315,2.96327,0.0648921
3.575873016,0.461667,0.55162,1.33025,0.0711399,0.19392,1.98262,0.329463,0.0734944,0.556453,0.546408,2.85802,0.0765435
3.622312925,0.923164,0.31528,1.24913,0.488169,0.829325,1.36181,0.313201,0.069436,0.402771,1.02874,1.8608,0.165066
3.668752834,1.15087,0.10415,0.826937,1.26137,0.976373,0.477704,0.402659,0.593231,1.21432,0.765337,1.15934,0.187487
3.715192744,1.26202,0.0801219,0.617498,1.90766,0.909626,0.218328,0.238396,0.59005,2.00607,0.519373,0.730806,0.105587
3.761632653,1.82859,0.118363,0.515403,2.25756,0.634079,0.0870392,0.0961868,0.190801,2.41442,0.410866,0.635237,0.0500219
3.808072562,2.07933,0.157813,0.425144,2.17967,0.502101,0.0953704,0.229508,0.0345657,2.89181,0.232779,0.461361,0.0233105
3.854512472,2.06657,0.0209824,0.423548,1.99182,0.425539,0.0780066,0.363614,0.0142638,3.33709,0.165057,0.338746,0.183316
3.900952381,2.06978,0.00223246,0.0364731,2.3069,0.246328,0.00511589,0.304919,0.020069,3.66465,0.0901072,0.10686,0.341502
3.947392290,1.96326,0.00941424,0.0284704,2.34188,0,0,0.193122,0.100117,3.87247,0.0461454,0.100998,0.436657
3.993832200,1.21252,0.0597957,0.0160663,2.3409,0,0,0.107257,0.00699032,4.26268,0.0866279,0.0794614,0.2092
4.040272109,1.14178,0.0305873,0.0208513,2.30214,0.22834,0,0.0594679,0.0248403,4.22338,0.00887428,0.00483568,0.14708
4.086712018,1.27131,0.0587482,0.0358582,2.36692,0.263665,0,0.0640796,0.050774,4.13191,0,0.00926571,0.141758
4.133151927,1.26604,0.0732038,0.206043,2.65808,0.261292,0.0077605,0.201925,0.0404822,3.97979,0.0592994,0,0.108466
4.179591837,1.34721,0.107131,0.0421591,2.75672,0.174581,0.0254283,0.396895,0.127877,3.82244,0.100495,0.00176646,0.116299
4.226031746,1.24664,0.182809,0.0522082,2.6506,0.0969554,0.218405,0.397592,0.163699,3.72889,0.101064,0,0.0906156
4.272471655,1.1689,0.292706,0.038963,2.54598,0.116843,0.307016,0.29872,0.186696,3.59531,0.224284,0,0.0349832
4.318911565,1.24806,0.325527,0,2.5071,0.115183,0.223658,0.198092,0.222118,3.73792,0.246858,0.0149361,0.0113961
4.365351474,1.35817,0.0841127,0,3.06788,0.111836,0.0689572,0.141057,0.484353,3.50635,0.164109,0.141253,0.0163445
4.411791383,1.28678,0.0544237,0,3.04119,0.0912258,0.0220745,0.0538583,0.25865,3.85085,0.0891884,0.235716,0.0388979
4.458231293,1.51591,0.0676005,0.151383,2.86556,0.165687,0,0.0408562,0.00166434,4.05034,0.0767846,0.188931,0.07679
4.504671202,1.78613,0.0646071,0.196774,2.67253,0.0402753,0.0507642,0.0823679,0.0226233,3.99305,0.0414763,0.0571009,0.274203
4.551111111,1.91381,0.110817,0.219262,2.53022,0.0409678,0.0171182,0.0986153,0.0674898,3.74518,0,0.0305876,0.20536
4.597551020,2.00554,0.124338,0.41066,2.57962,0.0646948,0.0160185,0.00753855,0.060123,3.7409,0,0.0608557,0.210279
4.643990930,1.97428,0.0856221,0.43957,2.71381,0.000280305,0.027796,0.0623517,0.0534644,3.7113,0.0774419,0.203284,0.111837
4.690430839,1.72836,0.0418677,0.222162,2.64733,0.0589729,0.0122543,0.256685,0,3.71561,0.180483,0.266856,0.00126893
4.736870748,1.49592,0.0273812,0.103641,2.63655,0.0560647,0,0.296858,0.0160836,3.57892,0.297948,0.453399,0.0115871
4.783310658,1.01695,0.0303607,0.130833,2.57481,0.00158775,0,0.316812,0.0419637,3.57235,0.485129,0.599267,0.0789561
