TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.023219955,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.046439909,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.069659864,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.092879819,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.116099773,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.139319728,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.162539683,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.185759637,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
0.208979592,-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
