TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,657.752,713.284,660.64,788.963,809.328,480.745,348.739,670.294,880.688,656.079,560.013,718.635,589.183,432.133,785.774,947.976,654.981,429.442,548.11,607.859,459.837,654.206,914.024,647.761,281.295,472.635,797.742,707.372,607.341,787.826,680.934,276.963,323.447,849.43,927.583,575.729,516.573,617.261,413.647,335.373,727.496,1050.31,711.002,266.563,402.573,497.334,396.935,575.884,861.806,668.737,288.029,330.662,620.497,595.669,508.721,647.673,550.426,256.684,312.082,576.078,641.619,510.441,453.661,520.653,359.479,267.038,627.554,750.276,376.346,272.031,399.964,378.756,288.051,504.389,726.009,431.614,129.274,342.937,567.308,437.282,388.628,510.375,390.97,117.37,236.416,674.844,771.052,437.249,313.532,332.147,167.539,161.57,517.242,688.543,421.079,146.478,201.43,200.77,171.925,414.19,594.116,428.594,141.807,177.287,261.872,213.349,303.011,419.608,320.881,135.57,160.154,335.476,269.075,185.824,271.584,265.622,134.506,114.167,318.308,373.986,123.468,82.6568,223.165,171.925,136.892,299.356,430.67,206.633,15.9767,175.444,282.341,178.73,185.055,271.023,168.148,16.1448,97.876,285.057,300.367,148.675,97.8353,112,25.16,72.7869,256.449,264.287,111.199,48.4324,79.6283,76.3449,65.6548,199.59,248.126,97.339,14.6278,69.5378,90.0753,62.0881,118.034,167.455,80.9754,1.22883,79.0248,149.569,87.3704,40.7313,89.0603,69.1993,1.99544,60.4658,175.737,138.568,22.6743,17.2414,62.3437,28.0891,36.7721,137.588,155.313,50.6075,10.745
1.486077098,669.972,692.107,612.1,749.353,916.344,390.252,294.318,626.836,1029.78,544.575,543.787,669.225,649.841,261.998,930.549,953.197,650.814,331.754,562.111,627.509,371.015,618.735,996.41,713.926,172.772,455.055,840.491,722.152,492.663,868.161,697.728,234.904,238.369,1010.01,988.667,507.56,452.288,653.424,397.854,255.584,753.761,1138.93,864.308,129.378,457.881,446.718,373.261,493.248,1032.83,662.321,242.353,253.831,709.374,573.632,443.612,681.557,567.959,206.375,269.467,627.651,608.128,535.48,350.251,612.626,296.735,225.629,613.221,975.912,279.513,284.086,341.627,426.089,188.809,564.895,820.452,450.557,65.1594,389.372,639.895,384.383,359.235,513.634,476.281,55.0554,236.024,715.815,969.315,356.337,317.36,321.923,163.917,84.3408,670.304,755.624,442.61,104.631,232.648,217.849,138.365,443.979,623.248,558.42,66.8588,194.355,244.806,200.026,267.202,506.112,298.015,129.549,108.855,435.533,252.22,160.769,275.102,275.579,132.002,87.2337,357.093,438.529,150.333,73.5105,299.783,123.994,133.251,271.395,611.745,231.111,3.29289,192.699,371.13,132.709,191.958,294.134,207.215,9.14173,126.329,323.931,344.829,153.387,70.6607,159.693,12.8687,85.0454,289.916,356.402,87.37,50.3268,57.7306,102.059,24.967,282.015,307.25,95.504,3.8346,92.5338,100.541,44.5842,124.956,194.019,122.16,4.22129,110.621,170.462,105.309,17.4217,126.208,92.0594,1.29738,63.19,269.166,191.499,14.8921,10.0933,96.7763,35.9752,51.0148,174.22,183.585,119.577,56.4692
2.972154195,582.317,581.493,492.063,619.177,943.479,246.692,214.847,485.806,1104.64,357.916,519.191,465.074,709.152,63.4723,1195.06,774.611,628.907,209.405,640.085,568.483,287.545,445.55,1009.1,748.112,74.3008,352.28,799.518,656.449,320.329,846.305,617.432,179.281,146.315,1082,947.592,348.253,353.771,565.84,426.146,161.102,755.919,944.008,1172.8,5.15728,565.778,261.719,377.107,345.321,1160.74,520.659,188.791,162.836,711.612,500.856,309.166,647.632,486.474,160.3,215.598,617.275,458.935,531.99,170.261,728.257,186.917,243.001,381.798,1338.82,174.952,418.66,149.127,566.213,56.0534,702.633,737.736,435.445,31.105,462.462,648.095,263.688,297.265,434.439,567.376,10.462,215.304,644.104,1099.6,261.351,312.544,288.057,141.218,7.04933,918.575,751.284,376.376,155.379,368.523,324.447,203.775,397.171,590.697,762.679,3.72891,194.27,190.016,176.89,207.111,564.377,214.615,125.564,48.7933,546.379,214.344,137.04,239.447,239.483,147.906,66.4999,392.496,374.887,261.181,131.219,478.45,26.2773,183.58,202.995,912.151,191.76,0.814026,212.845,468.062,64.3703,189.507,264.918,228.917,33.7119,177.535,291.147,365.457,143.644,44.956,200.474,31.0069,127.884,227.481,479.4,82.0203,94.6871,7.91577,193.483,4.00728,469.083,298.706,89.3291,9.09551,141.803,100.307,30.1645,110.324,193.773,177.184,31.5829,137.265,165.166,113.391,1.44351,169.287,140.315,4.17355,40.8985,393.273,303.035,0.521706,0.180333,169.14,117.543,146.421,198.728,159.048,301.67,198.955
4.458231293,451.504,422.079,384.104,473.671,916.581,106.058,112.296,347.386,1006.3,260.744,525.11,238.913,821.375,80.8245,1678.86,573.106,664.4,224.441,818.642,566.92,268.286,235.232,1019.87,788.01,38.691,204.583,689.043,562.357,158.513,739.157,464.822,125.015,88.7042,1046.85,846.93,180.918,223.928,443.298,464.752,144.024,806.547,548.869,1738.56,169.472,777.565,102.351,439.665,300.636,1194.24,309.963,146.445,106.32,598.193,434.9,154.821,600.662,309.525,168.061,228.143,488.243,311.589,431.304,41.4425,853.392,211.479,379.936,87.8045,1929.34,349.029,744.874,26.7485,825.056,76.0159,919.429,516.225,410.69,67.2334,523.58,647.316,107.22,269.823,318.736,704.329,12.5322,142.568,542.528,1047.39,268.976,360.697,291.155,150.33,40.0077,1270.97,803.883,297.147,452.941,791.194,707.431,512.041,344.792,611.813,1046.77,41.6354,202.931,133.828,175.849,190.332,549.923,128.618,103.713,19.0558,676.122,214.261,160.717,152.835,201.041,155.875,74.5096,454.276,199.671,474.138,405.83,834.275,40.1637,344.789,267.621,1367.26,148.958,15.3009,315.344,543.304,17.8563,141.278,240.806,181.708,122.366,293.09,165.375,410.061,114.733,31.4942,209.883,114.174,216.664,104.914,620.921,208.428,237.836,46.0139,436.519,167.326,808.405,230.347,101.066,47.2712,188.745,116.161,26.9744,86.3192,171.469,248.697,76.393,144.097,141.961,103.87,7.06105,226.196,216.455,22.33,14.5811,544.66,532.399,36.7319,37.2517,348.315,350.428,379.631,258.32,135.582,645.622,529.14
5.944308390,328.175,284.392,349.294,413.865,878.624,17.0276,35.5147,240.995,758.216,337.352,650.529,209.789,1093,568.812,2322.69,610.398,815.449,481.813,1100.34,715.025,376.219,149.213,1125.38,876.522,70.391,77.9055,538.895,477.49,78.0073,595.146,275.651,98.858,66.941,928.118,758.08,74.3797,118.184,336.83,489.325,248.708,906.02,240.786,2639.63,973.763,1147,174.262,567.312,421.134,1196.34,104.348,135.253,95.8099,425.258,367.565,75.7445,579.757,121.29,277.287,337.698,295.286,195.453,275.95,31.0953,1023.06,563.454,710.826,81.2527,2736.24,1061.57,1299.15,214.114,1200.25,371.833,1164.07,305.972,402.796,189.482,521.368,654.002,21.2948,316.15,302.846,896.924,73.0504,54.1405,441.19,816.088,433.677,546.538,426.283,254.534,281.551,1681.41,958.945,328.887,1095.74,1733.46,1604.49,1129.65,374.366,696.756,1419.73,272.906,246.967,143.647,219.098,238.568,494.496,59.2114,63.5954,39.8497,834.831,328.312,238.512,70.5058,174.351,135.426,121.32,567.299,33.3955,819.114,1004.08,1367.51,330.832,685.275,646.626,1914.55,235.596,82.6118,556.238,650.423,0.0727875,63.2737,246.941,94.4305,298.853,477.14,40.9019,489.996,108.826,20.947,205.111,289.026,344.295,11.9985,765.314,523.399,530.801,326.982,927.713,727.091,1329.62,171.967,132.105,98.9912,230.303,151.181,48.9396,66.7651,137.9,348.535,120.141,121.824,116.213,80.8201,48.531,292.491,303.34,66.85,13.3725,722.137,886.149,211.765,208.809,704.372,764.318,736.808,397.139,204.852,1143.39,1068.96
7.430385488,244.736,204.329,407.089,527.519,861.622,6.17195,9.91286,157.12,470.873,539.641,970.991,613.712,1664.18,1548.92,2877.91,1025.77,1163.05,1001.05,1363.8,982.673,670.885,335.581,1388.98,1008.62,134.049,13.8505,403.323,410.71,101.367,452.758,103.7,122.559,57.8267,779.519,766.908,75.5714,55.9199,228.438,556.253,442.577,930.159,301.113,3945.18,2716.36,1729.79,477.981,711.103,716.193,1235.55,4.00388,158.362,100.692,266.395,286.452,106.276,610.53,51.2265,538.324,539.224,117.511,101.977,155.237,123.17,1214.95,1374.8,1362.04,654.085,3569.88,2242.65,2095.19,865.821,1664.02,868.249,1353.35,257.752,443.894,401.46,412.18,677.579,129.903,467.88,487.172,1082.25,193.5,2.79414,377.052,469.467,778.064,966.542,700.218,431.735,706.269,2188.73,1145.77,500.415,1963.74,3399.59,3228.56,1941.49,497.336,803.857,1848.05,742.051,368.645,236.364,279.846,336.453,473.709,13.7134,13.7882,116.699,1094.91,551.116,314.346,56.4214,170.652,89.7355,182.617,774.689,66.6376,1337.8,1819.42,1944.51,945.503,1271.02,1419.35,2419.77,481.857,226.524,952.948,888.355,33,24.5794,313.174,60.4853,550.622,651.87,31.2725,611.082,205.695,21.9948,253.53,551.57,443.376,14.3475,916.682,1039.26,959.865,858.192,1673.12,1809.88,2044.29,222.356,175.891,125.037,267.192,218.189,86.0836,49.8489,103.227,495.282,165.821,80.9362,118.079,75.4877,142.554,306.903,389.448,163.622,75.9005,874.568,1271.4,599.489,605.889,1253.65,1282.53,1107.97,624.116,442.834,1770.47,1695.63
8.916462585,214.321,182.83,514.047,812.82,908.106,48.237,21.3422,101.82,226.233,765.186,1525.24,1500.87,2518.38,2799.21,3158.38,1643.53,1725.42,1714.01,1442.55,1249.19,1181.93,841.029,1713,1165.43,197.993,8.33975,300.212,373.618,177.157,336.888,10.6195,177.44,38.7764,679.293,910.582,169.399,47.376,139.294,650.524,635.382,813.138,833.398,5683.88,5366.95,2528.72,824.773,827.323,1150.39,1301.27,55.6963,218.069,98.1273,148.485,209.358,207.723,681.784,217.969,942.592,793.615,33.6622,50.258,92.8638,233.106,1415.08,2583.87,2418.08,1811.35,4125.45,3541.45,3090.09,1880.28,2085.81,1395.41,1431.28,398.509,557.167,677.062,227.6,715.001,485.601,737.604,828.555,1208.08,345.175,24.4875,343.077,193.209,1199,1582.26,1137.37,633.538,1095.6,2756.11,1410.78,629.562,2819.9,5992.87,5505.07,2583.85,684.441,988.774,2108.44,1369.94,643.674,391.99,304.035,459.505,522.438,13.4702,4.7633,273.301,1460.7,839.335,340.577,107.159,208.936,50.8182,265.676,1064.85,450.941,1989.9,2605.65,2367.5,1774.66,2079.33,2408.04,2751.85,829.925,451.91,1424.99,1291.15,178.206,132.094,475.623,164.4,807.217,764.232,158.302,779.529,459.8,82.5697,415.194,879.36,463.086,91.2158,1100.38,1710.66,1392.66,1448.22,2634.17,3358.4,2821.69,435.882,228.934,113.57,286.959,324.131,123.676,31.4603,93.1874,672.936,248.959,78.69,186.243,128.99,292.704,249.823,450.842,335.895,223.642,913.8,1575.88,1219.02,1234.07,1841.87,1771.65,1409.26,841.88,828.379,2455.77,2240.43
10.402539683,217.233,185.064,628.553,1145.75,1017.54,116.277,38.8507,70.866,72.3863,930.014,2222.41,2662.93,3495.73,3891.8,3086.62,2123.98,2424.59,2448.98,1261.51,1398.48,1823.88,1533.22,1973.92,1270.13,232.026,32.4565,234.969,352.635,227.807,256.166,15.2608,243.561,17.9908,636.863,1154.98,347.621,75.976,91.4169,719.589,738.909,597.13,1649.73,7843.73,8476.51,3347.85,1059.56,869.887,1508.67,1450.53,225.508,267.291,87.3832,81.5315,143.252,298.964,797.057,604.874,1405.87,1068.01,74.1537,41.3677,75.1972,288.883,1602.23,3883.45,3825.13,3227.35,4184.88,4471.2,4120.7,2904.15,2349.29,1746.25,1356.79,633.074,763.763,948.468,59.5465,773.703,985.038,1093.94,1209.25,1209.58,483.317,129.259,332.993,97.3108,1582.17,2284.64,1590.99,807.757,1303.46,3132.89,1906.99,543.643,3481.73,9581.84,7978.25,2733.15,894.817,1114.1,2119.88,2008.39,1035.07,561.662,267.299,572.559,642.257,81.1699,69.9351,513.263,1896.34,1111.98,297.822,190.365,295.367,58.6369,384.224,1403.33,1129.62,2655.01,3111.23,2452.98,2568.18,2997.15,3251.4,2807.66,1166.64,711.309,1817.28,1808.1,492.531,441.611,753.992,436.693,978.334,773.89,388.8,975.924,814.205,263.141,746.308,1192.48,401.788,197.478,1288.61,2391.3,1742.42,1773.69,3705.86,5113.75,3392.04,773.151,316.031,59.185,313.344,420.229,161.562,12.1598,116.333,876.345,397.715,165.664,341.564,280.11,479.332,146.658,486.228,567,431.744,816.28,1688.67,1969.87,1989.58,2267.87,2057.93,1561.79,948.302,1258.36,3067.33,2533.23
11.888616780,213.833,179.056,725.106,1335.19,1158.4,198.725,35.0941,54.5565,13.1727,1003.62,2858.58,3718.82,4341.45,4386.3,2705.36,2194.85,3105.17,2955.92,906.532,1380.12,2419.24,2169.45,2045.67,1261.59,228.471,52.4714,192.223,317.835,210.605,204.052,97.6081,308.627,32.9252,610.464,1368.43,633.517,125.057,96.3997,758.213,676.715,376.647,2335.38,10370.3,11353.8,3808.47,1142.28,790.848,1621.12,1706.83,402.82,264.377,86.2198,71.0064,86.7193,334.406,939.818,1040.88,1813.58,1344,195.911,64.5631,83.2263,264.356,1697.45,4917.51,5316.57,4365.4,3735.69,4641.36,4966.05,3505.57,2391.6,1761.14,1153.54,813.261,1036.75,1130.07,9.07021,869.208,1430.63,1436.42,1487.18,1070.32,554.045,301.564,351.479,170.565,1807.82,2901.9,1920.17,848.775,1313.33,3120.36,2520.21,318.767,4012.4,14060.4,9919.16,2330.77,1087.18,986.807,1995.84,2347.87,1461.98,730.663,169.183,647.418,814.763,209.849,183.697,810.53,2362.19,1251.57,214.962,261.903,412.832,135.934,546.832,1729.29,1847.2,3176.64,3165.72,2155.91,3053.49,3794.42,3619.32,2560.7,1354.45,937.398,1961.48,2327.61,980.393,881.673,1109.11,838.775,1013.32,664.194,646.065,1165.51,1115.11,575.86,1237.98,1447.79,267.445,314.749,1415.7,2813.44,2025.36,1590.04,4762.83,6703.64,3469.95,1131.68,465.365,5.81998,332.49,449.196,218.768,0.646349,187.073,1081.13,601.882,333.655,576.077,543.964,657.295,54.559,504.122,802.075,646.141,596.778,1608.77,2630.45,2662.13,2393.91,2014.65,1539.04,877.366,1606.82,3425.89,2505.14
